CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
4750481,2011,2013-01-15,3706,2011-10-04,0800,342,ESPD,2,5,6,3706,0,0,0,,0,046,"VALLEY PKWY","HARDING ST",95.00,W,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,05,21650,1,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO",ESCONDIDO,-117.06387248999999,33.131948919999999
4750612,2011,2013-01-15,3711,2011-10-03,1810,3432,,1,5,7,3711,0,0,0,,0,124,"EL PASEO GRANDE","CALLE CLARA",81.00,N,N,B,-,N,,,,,,,,,,N,3,0,1,4,A,-,13,22515,A,N,G,B,F,A,H,-,A,D,0,Y,,,,Y,,-,"- ",0,1,0,0,1,0,0,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.25562168,32.854426549999999
4751700,2011,2012-05-21,3711,2011-04-27,1420,5450,,3,5,7,3711,0,0,0,,0,814,"MONTEZUMA RD","YERBA SANTA RD",35.00,E,N,A,-,N,,,,,,,,,,N,3,0,2,3,A,-,08,22107,,N,C,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,1,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.08447377,32.770823030000003
4752753,2011,2012-07-06,9650,2011-05-26,1650,14615,,4,2,9,3700,0,2,4,,2,061,"SOUTH MISSION RD","AMMUNITION RD",300.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21650,,N,H,G,A,A,H,-,A,D,0,,Y,,,Y,Y,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",33.371789999999997,-117.25303,"SAN DIEGO",UNINCORPORATED,-117.25290353,33.371786159999999
4753268,2011,2012-03-21,3700,2011-01-24,1426,SH2107,,1,5,5,3712,0,0,0,,0,353,"WOODLAND PKWY","HARWICH DR",23.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,11,21950,B,N,G,B,D,A,H,-,A,D,0,Y,,,,Y,,N,60,1,0,0,0,1,0,0,0,0,"- ","- ",,,"SAN DIEGO","SAN MARCOS",-117.13300397,33.148933309999997
4753297,2011,2012-04-16,3700,2011-02-08,0840,SH2526,,2,5,5,3781,0,0,0,,0,511,"CUYAMACA ST","RIVERWALK DR",140.00,N,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,05,21650,1,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,1,0,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO",SANTEE,-116.983497,32.852462000000003
4753301,2011,2012-04-16,3700,2011-02-03,1552,SH3187,,4,5,5,3781,0,0,0,,0,518,"MISSION GORGE RD","CARLTON HILLS BL",3.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,B,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO",SANTEE,-116.99580152,32.838665509999998
4754920,2011,2012-05-24,3700,2011-04-23,1136,3108,,6,5,5,3782,0,0,0,,0,240,"COAST HIGHWAY 101","CARDIFF STATE BEACH",890.00,S,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,E,G,A,A,H,-,A,D,0,,Y,,,Y,,A,07,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO",ENCINITAS,-117.27894000000001,33.009720000000002
4755956,2011,2012-05-10,3700,2011-04-22,1308,SH3108,,5,5,5,3782,0,0,0,,0,223,"EL CAMINO REAL","GARDEN VIEW RD",275.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21650,1,N,E,G,A,A,H,-,-,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO",ENCINITAS,-117.26285007,33.05926805
4755975,2011,2012-05-10,3700,2011-04-07,1722,SH3650,,4,5,2,3704,0,0,0,,0,294,"CAMINO DEL MAR","12TH ST",30.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,21717,,N,D,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","DEL MAR",-117.26418408000001,32.956376040000002
