CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
5645032,2012,2013-09-27,3711,2012-06-01,1824,5985,,5,5,7,3711,0,0,0,,0,521,"J ST","400 14TH ST",0.00,,Y,B,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,Y,A,01,0,0,1,0,1,0,0,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.15188993,32.70943003
5857418,2012,2013-12-18,3711,2012-10-01,0901,5985,,1,5,7,3711,0,0,0,,0,524,"ASH ST","8TH AV",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,A,01,0,1,0,0,1,0,0,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.15751203000001,32.719874769999997
5968907,2012,2014-01-15,3711,2012-12-19,1110,4491,,3,5,7,3711,0,0,0,,0,614,VOLTAIRE,EBERS,0.00,,Y,B,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,D,B,B,A,H,-,A,A,0,Y,,,,Y,,-,"- ",0,1,0,0,1,0,0,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.241462,32.748824829999997
6004061,2013,2014-01-30,3711,2013-02-01,1625,5097,,5,5,7,3711,0,0,0,,0,531,"PARK DR","MORLEY FIELD DR",3.00,N,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21650,1,N,A,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.14751390000001,32.7401628
6173204,2013,2014-03-24,3711,2013-08-08,0209,6790,SANDI,4,5,7,3711,0,0,0,,0,822,"UNIVERSITY AV","CHOLLAS PKWY",30.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,G,A,A,H,-,C,D,0,,Y,,,Y,Y,-,"- ",0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.0742159,32.747833900000003
6265178,2013,2014-04-23,3711,2013-10-31,0730,5278,,4,5,7,3711,0,0,0,,0,242,"HILLERY DR","BLACK MOUNTAIN RD",0.00,,Y,B,-,N,,,,,,,,,,N,4,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,A,0,Y,,,,Y,,-,"- ",0,0,1,0,1,0,0,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.124422,32.912884900000002
8094269,2016,2016-08-03,3711,2016-07-24,2059,6461,,7,5,7,3711,0,0,0,,0,122,"MISSION BL","HORNBLEND ST",4.00,N,N,A,-,N,,,,,,,,,,N,3,0,2,3,A,-,10,21950,A,N,D,B,B,A,H,-,C,B,0,Y,,,,Y,,A,01,0,2,0,0,2,0,0,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.25522307999999,32.795670649999998
8118101,2016,2016-09-09,3711,2016-08-29,1504,5515,,1,5,7,3711,0,0,0,,0,624,"MADISON AV","ALABAMA ST",6.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,N,B,G,A,A,H,-,A,D,0,,Y,,,Y,,A,01,0,1,0,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.14258945,32.76097
8370001,2017,2017-05-22,3711,2017-05-05,1700,4246,,5,5,7,3711,0,0,0,,0,114,"CLAIREMONT MESA BL","LIMERICK AV",0.00,,Y,B,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,M,C,G,A,A,H,-,A,A,0,,Y,,,Y,,-,,0,0,1,0,0,0,1,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",-117.17876009,32.834410050000002
8372808,2017,2017-06-06,3711,2017-05-17,0820,6956,,3,5,7,3711,0,0,0,,0,826,"TROJAN AV","TROJAN AV 5400",100.00,S,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,21,22106,,N,G,B,C,A,H,-,A,D,0,Y,,,,Y,,-,,0,1,0,0,1,0,0,0,0,"- ","- ",,,"SAN DIEGO","SAN DIEGO",,
