CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
4750481,2,1,4,F,18,4,1,P,W,1,"SAN DIEGO",ESCONDIDO,2011
4750612,2,1,3,F,54,3,9,P,-,0,"SAN DIEGO","SAN DIEGO",2011
4751700,1,1,4,M,19,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2011
4751700,3,1,2,-,18,4,8,P,A,0,"SAN DIEGO","SAN DIEGO",2011
4752753,1,1,4,M,27,3,1,P,V,1,"SAN DIEGO",UNINCORPORATED,2011
4753268,1,1,3,M,11,2,9,-,-,3,"SAN DIEGO","SAN MARCOS",2011
4753268,2,1,2,F,11,0,6,M,G,0,"SAN DIEGO","SAN MARCOS",2011
4753297,1,1,4,M,18,2,1,V,-,0,"SAN DIEGO",SANTEE,2011
4753301,1,1,4,M,56,3,1,P,V,1,"SAN DIEGO",SANTEE,2011
4753301,2,1,2,M,23,0,2,M,G,0,"SAN DIEGO",SANTEE,2011
4754920,2,1,4,M,34,3,1,-,W,1,"SAN DIEGO",ENCINITAS,2011
4755956,1,1,4,M,18,3,1,P,V,1,"SAN DIEGO",ENCINITAS,2011
4755975,1,1,2,F,1,0,6,M,Q,0,"SAN DIEGO","DEL MAR",2011
4755975,1,2,2,M,32,0,3,M,G,0,"SAN DIEGO","DEL MAR",2011
4755975,2,1,4,M,40,4,1,P,W,1,"SAN DIEGO","DEL MAR",2011
4756891,1,1,2,F,24,0,3,M,G,0,"SAN DIEGO","SAN MARCOS",2011
4756891,2,1,4,M,7,4,1,P,W,1,"SAN DIEGO","SAN MARCOS",2011
4757283,1,1,3,M,19,4,9,-,-,3,"SAN DIEGO","LA MESA",2011
4757307,2,1,3,F,68,3,9,-,-,3,"SAN DIEGO","LA MESA",2011
4757539,1,1,3,M,57,2,9,P,-,3,"SAN DIEGO",ESCONDIDO,2011
4985010,2,1,3,M,11,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
4985030,1,1,2,M,56,0,2,M,G,0,"SAN DIEGO","SAN DIEGO",2011
4985030,2,1,3,M,70,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
4990195,1,1,2,F,22,0,3,M,G,0,"SAN DIEGO","LA MESA",2011
4990195,2,1,3,M,53,1,9,-,-,3,"SAN DIEGO","LA MESA",2011
4990206,2,1,3,F,93,1,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
4990243,1,1,3,M,33,1,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
4990243,2,1,2,M,57,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2011
4990243,2,2,2,M,45,0,6,-,-,0,"SAN DIEGO","SAN DIEGO",2011
4990300,1,1,4,F,6,1,1,P,V,1,"SAN DIEGO","NATIONAL CITY",2011
4990304,1,1,3,M,61,1,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
4990426,1,1,4,M,60,1,1,-,-,1,"SAN DIEGO","SAN DIEGO",2011
4990431,1,1,4,M,37,1,1,V,-,1,"SAN DIEGO",UNINCORPORATED,2011
4990439,2,1,4,M,44,1,1,W,-,1,"SAN DIEGO","SAN DIEGO",2011
4990527,1,1,3,M,51,1,9,-,-,3,"SAN DIEGO",UNINCORPORATED,2011
4990651,2,1,4,M,73,1,1,P,V,1,"SAN DIEGO","SAN DIEGO",2011
4990656,1,1,3,M,29,1,9,P,-,0,"SAN DIEGO","SAN DIEGO",2011
4990656,2,1,2,M,29,0,4,P,G,0,"SAN DIEGO","SAN DIEGO",2011
4990656,2,2,2,M,23,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2011
4990672,2,1,3,F,31,1,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
4990709,1,1,3,M,28,1,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
4990711,2,1,3,M,85,1,9,P,-,0,"SAN DIEGO",UNINCORPORATED,2011
4990743,1,1,2,M,21,0,3,M,B,0,"SAN DIEGO",OCEANSIDE,2011
4990743,2,1,4,M,17,1,1,P,V,1,"SAN DIEGO",OCEANSIDE,2011
4990961,1,1,3,M,21,1,9,-,-,3,"SAN DIEGO",UNINCORPORATED,2011
4990961,2,1,3,M,21,2,9,-,-,3,"SAN DIEGO",UNINCORPORATED,2011
4990961,3,1,2,M,24,0,3,M,G,0,"SAN DIEGO",UNINCORPORATED,2011
4990961,3,2,2,M,18,0,6,M,G,0,"SAN DIEGO",UNINCORPORATED,2011
4990961,3,3,2,M,27,0,5,M,G,0,"SAN DIEGO",UNINCORPORATED,2011
4990961,3,4,2,M,20,0,4,M,G,0,"SAN DIEGO",UNINCORPORATED,2011
4990961,3,5,2,M,18,0,4,M,G,0,"SAN DIEGO",UNINCORPORATED,2011
5027384,1,1,2,M,21,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2011
5027384,2,1,3,F,57,4,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5039044,1,1,4,M,44,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2011
5042803,2,1,4,M,52,3,1,W,-,1,"SAN DIEGO",ESCONDIDO,2011
5042807,2,1,4,F,998,4,1,W,-,2,"SAN DIEGO",ESCONDIDO,2011
5042835,1,1,2,F,14,0,3,M,G,0,"SAN DIEGO",ESCONDIDO,2011
5042835,1,2,2,F,8,0,6,M,G,0,"SAN DIEGO",ESCONDIDO,2011
5042835,2,1,3,M,16,3,9,-,-,3,"SAN DIEGO",ESCONDIDO,2011
5042839,2,1,3,M,17,3,9,-,-,0,"SAN DIEGO",ESCONDIDO,2011
5042843,1,1,4,M,18,3,1,W,-,1,"SAN DIEGO",ESCONDIDO,2011
5042851,2,1,3,F,63,4,9,-,-,0,"SAN DIEGO",ESCONDIDO,2011
5042867,2,1,3,M,9,4,9,-,-,3,"SAN DIEGO",ESCONDIDO,2011
5043560,1,1,2,M,30,0,1,D,P,0,"SAN DIEGO","SAN DIEGO",2011
5043560,1,2,2,F,29,0,3,D,P,0,"SAN DIEGO","SAN DIEGO",2011
5043560,2,1,4,M,48,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2011
5043562,1,1,4,M,34,3,1,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5043564,1,1,3,M,42,2,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5043568,1,1,3,M,29,2,9,P,-,0,"SAN DIEGO","SAN DIEGO",2011
5043568,2,1,2,M,29,0,4,P,G,0,"SAN DIEGO","SAN DIEGO",2011
5043568,2,2,2,M,23,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2011
5043570,1,1,4,M,76,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2011
5043588,2,1,3,M,34,4,0,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5043600,2,1,4,M,19,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2011
5043660,1,1,4,F,52,4,1,W,-,1,"SAN DIEGO","SAN DIEGO",2011
5043668,1,1,4,M,59,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2011
5043672,2,1,3,M,65,4,9,P,-,0,"SAN DIEGO","SAN DIEGO",2011
5045000,2,1,3,M,43,3,9,-,-,3,"SAN DIEGO","LA MESA",2011
5045050,1,1,4,M,49,4,1,P,-,0,"SAN DIEGO",ESCONDIDO,2011
5045122,2,1,3,F,57,2,9,P,-,0,"SAN DIEGO","SAN DIEGO",2011
5045130,2,1,4,M,63,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5045199,2,1,4,F,70,3,1,P,V,2,"SAN DIEGO","SAN DIEGO",2011
5054627,1,1,4,M,26,4,1,P,V,1,"SAN DIEGO",ESCONDIDO,2011
5054643,1,1,2,-,998,0,2,L,G,3,"SAN DIEGO","SAN DIEGO",2011
5054643,2,1,3,F,45,4,9,-,P,3,"SAN DIEGO","SAN DIEGO",2011
5054644,1,1,3,-,40,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5054647,1,1,4,M,13,3,9,-,-,1,"SAN DIEGO","SAN DIEGO",2011
5054649,1,1,4,M,63,3,1,V,-,1,"SAN DIEGO",UNINCORPORATED,2011
5054660,1,1,3,F,26,3,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5054667,1,1,3,M,10,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5054668,2,1,4,-,16,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2011
5054671,2,1,3,F,53,3,0,P,A,0,"SAN DIEGO","SAN DIEGO",2011
5054675,2,1,3,F,42,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5054698,1,1,3,M,82,3,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5054703,1,1,3,F,40,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5054710,1,1,2,F,85,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2011
5054710,2,1,3,F,65,3,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5054710,3,1,3,M,67,3,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5054714,2,1,4,M,45,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2011
5055677,2,1,3,M,57,3,0,P,-,0,"SAN DIEGO",ESCONDIDO,2011
5056411,2,1,4,M,11,3,9,P,W,0,"SAN DIEGO","SAN DIEGO",2011
5056447,1,1,3,M,42,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5056463,1,1,3,M,13,2,1,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5056509,1,1,4,M,33,3,9,P,-,3,"SAN DIEGO",CORONADO,2011
5056662,1,1,3,M,49,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5056702,2,1,4,M,23,3,9,P,-,3,"SAN DIEGO","SAN DIEGO",2011
5056705,2,1,4,M,44,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2011
5056706,2,1,3,M,14,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5056709,1,1,4,M,11,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5056710,2,1,4,M,35,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5057164,2,1,3,M,49,4,9,-,P,3,"SAN DIEGO","SAN DIEGO",2011
5057192,1,1,3,F,46,4,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5057217,2,1,3,F,21,4,0,P,A,3,"SAN DIEGO","SAN DIEGO",2011
5057357,2,1,3,M,42,4,9,-,-,3,"SAN DIEGO",UNINCORPORATED,2011
5057442,1,1,3,F,60,3,9,-,-,3,"SAN DIEGO",UNINCORPORATED,2011
5057505,1,1,2,F,14,0,3,M,G,0,"SAN DIEGO",UNINCORPORATED,2011
5057505,1,2,2,F,10,0,6,M,G,0,"SAN DIEGO",UNINCORPORATED,2011
5057505,2,1,3,M,53,3,9,-,-,3,"SAN DIEGO",UNINCORPORATED,2011
5057646,1,1,3,M,27,2,9,P,-,3,"SAN DIEGO",UNINCORPORATED,2011
5057678,1,1,3,M,60,4,9,-,-,3,"SAN DIEGO",UNINCORPORATED,2011
5058352,2,1,4,M,51,3,1,P,W,2,"SAN DIEGO",CARLSBAD,2011
5058387,1,1,4,M,17,3,1,W,-,3,"SAN DIEGO",CARLSBAD,2011
5058387,2,1,2,M,17,0,3,M,G,3,"SAN DIEGO",CARLSBAD,2011
5058387,2,2,2,F,16,0,6,P,G,3,"SAN DIEGO",CARLSBAD,2011
5058387,2,3,2,M,16,0,4,P,G,3,"SAN DIEGO",CARLSBAD,2011
5063122,1,1,3,-,36,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5063134,1,1,4,M,7,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5063138,2,1,3,M,63,4,0,P,A,3,"SAN DIEGO","SAN DIEGO",2011
5063166,1,1,3,M,50,3,9,P,-,0,"SAN DIEGO","SAN DIEGO",2011
5063174,2,1,3,M,47,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5063181,1,1,5,F,23,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5063189,2,1,3,M,38,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5064813,1,1,3,M,13,4,9,-,-,3,"SAN DIEGO",UNINCORPORATED,2011
5065199,1,1,4,M,14,3,9,V,-,3,"SAN DIEGO","LEMON GROVE",2011
5066408,1,1,3,F,16,2,9,P,-,0,"SAN DIEGO","NATIONAL CITY",2011
5066408,3,1,3,M,17,4,9,P,-,0,"SAN DIEGO","NATIONAL CITY",2011
5066649,2,1,3,M,22,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5066657,1,1,4,M,22,2,1,V,-,1,"SAN DIEGO","SAN DIEGO",2011
5066661,1,1,3,F,25,2,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5066693,1,1,4,M,26,3,1,V,-,0,"SAN DIEGO","SAN DIEGO",2011
5066706,2,1,3,M,59,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5066718,2,1,3,F,63,3,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5066728,2,1,4,F,34,4,1,-,V,1,"SAN DIEGO","SAN DIEGO",2011
5066736,1,1,3,M,41,2,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5066736,2,1,3,F,31,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5066740,2,1,4,M,43,4,1,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5066881,2,1,3,F,60,4,0,P,-,0,"SAN DIEGO","SAN DIEGO",2011
5067370,1,1,4,F,79,3,1,P,W,1,"SAN DIEGO","EL CAJON",2011
5068251,1,1,1,M,62,3,1,P,G,3,"SAN DIEGO",CARLSBAD,2011
5068251,2,1,4,M,45,3,1,-,W,3,"SAN DIEGO",CARLSBAD,2011
5068259,1,1,3,M,24,3,9,-,V,1,"SAN DIEGO",CARLSBAD,2011
5068271,1,1,4,M,13,4,1,-,W,1,"SAN DIEGO",CARLSBAD,2011
5068271,2,1,2,M,51,0,3,M,G,0,"SAN DIEGO",CARLSBAD,2011
5068275,1,1,3,F,14,4,9,-,-,3,"SAN DIEGO",CARLSBAD,2011
5068275,2,1,2,M,70,0,3,M,G,0,"SAN DIEGO",CARLSBAD,2011
5068546,2,1,3,M,51,3,9,-,-,3,"SAN DIEGO",CORONADO,2011
5068662,1,1,4,M,13,3,9,-,V,3,"SAN DIEGO",CARLSBAD,2011
5068674,2,1,4,M,33,4,1,P,W,1,"SAN DIEGO",CARLSBAD,2011
5068952,2,1,4,M,55,3,1,P,W,1,"SAN DIEGO",ENCINITAS,2011
5069001,2,1,4,M,63,4,1,P,W,1,"SAN DIEGO",ENCINITAS,2011
5069005,1,1,4,M,60,3,1,P,V,1,"SAN DIEGO",ENCINITAS,2011
5069005,2,1,2,F,86,0,3,M,G,0,"SAN DIEGO",ENCINITAS,2011
5069009,1,1,4,M,33,4,1,P,A,0,"SAN DIEGO",ENCINITAS,2011
5069009,2,1,2,F,43,0,3,M,G,0,"SAN DIEGO",ENCINITAS,2011
5069251,2,1,3,M,84,3,9,-,-,0,"SAN DIEGO",ESCONDIDO,2011
5069280,2,1,3,M,13,4,0,N,-,0,"SAN DIEGO","SAN DIEGO",2011
5069281,2,1,4,M,56,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2011
5069292,1,1,3,M,22,2,9,-,-,3,"SAN DIEGO",OCEANSIDE,2011
5069309,1,1,4,-,27,4,1,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5070104,2,1,4,M,38,3,0,P,V,1,"SAN DIEGO",OCEANSIDE,2011
5070892,1,1,4,M,17,3,1,P,X,2,"SAN DIEGO","SAN DIEGO",2011
5070940,2,1,4,M,43,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5070952,2,1,4,M,34,3,1,-,V,1,"SAN DIEGO","SAN DIEGO",2011
5071040,1,1,4,M,47,4,1,P,-,1,"SAN DIEGO","SAN DIEGO",2011
5071040,2,1,2,M,25,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2011
5071040,2,2,2,M,25,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2011
5071164,3,1,3,-,40,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5071682,1,1,3,M,49,3,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5071691,1,1,3,F,31,3,0,P,-,0,"SAN DIEGO","SAN DIEGO",2011
5071691,2,1,2,M,32,0,3,M,-,0,"SAN DIEGO","SAN DIEGO",2011
5071691,2,2,2,F,16,0,6,M,-,0,"SAN DIEGO","SAN DIEGO",2011
5071698,1,1,3,M,8,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5071702,2,1,3,M,4,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5071707,1,1,2,M,25,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2011
5071707,2,1,4,M,27,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2011
5071711,1,1,4,M,37,3,0,P,-,0,"SAN DIEGO","SAN DIEGO",2011
5071711,2,1,2,F,19,0,3,M,G,3,"SAN DIEGO","SAN DIEGO",2011
5071749,2,1,3,F,57,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5074024,1,1,4,F,41,4,1,P,B,3,"SAN DIEGO","SAN DIEGO",2011
5074024,2,1,2,F,42,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2011
5074048,2,1,4,-,41,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5074052,2,1,4,F,20,3,0,P,A,3,"SAN DIEGO","SAN DIEGO",2011
5074060,2,1,4,M,38,3,9,P,W,1,"SAN DIEGO","SAN DIEGO",2011
5074067,1,1,4,M,16,4,9,P,W,3,"SAN DIEGO",CORONADO,2011
5074420,1,1,3,F,18,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5074424,2,1,3,F,18,4,9,P,-,0,"SAN DIEGO","SAN DIEGO",2011
5074424,3,1,3,F,18,4,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5074444,1,1,3,F,28,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5074451,1,1,3,M,31,3,9,P,-,3,"SAN DIEGO","SAN DIEGO",2011
5074459,2,1,4,M,52,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5074459,3,1,4,M,52,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5074463,2,1,3,F,65,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5074468,1,1,2,M,51,0,2,B,-,3,"SAN DIEGO","SAN DIEGO",2011
5074468,2,1,3,F,41,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5075194,2,1,3,F,44,4,0,P,-,0,"SAN DIEGO","CHULA VISTA",2011
5075210,2,1,3,F,20,4,9,P,-,0,"SAN DIEGO","CHULA VISTA",2011
5075230,2,1,3,F,69,4,9,P,-,3,"SAN DIEGO","CHULA VISTA",2011
5075238,2,1,3,F,17,4,0,P,-,0,"SAN DIEGO","CHULA VISTA",2011
5075279,2,1,3,M,24,3,9,P,V,1,"SAN DIEGO","CHULA VISTA",2011
5075695,1,1,4,F,10,2,9,P,W,3,"SAN DIEGO",CORONADO,2011
5076743,1,1,2,F,23,0,3,M,G,0,"SAN DIEGO","NATIONAL CITY",2011
5076743,2,1,3,M,57,3,9,P,-,3,"SAN DIEGO","NATIONAL CITY",2011
5077211,1,1,1,M,65,2,9,-,-,3,"SAN DIEGO",UNINCORPORATED,2011
5077214,1,1,3,M,65,4,9,-,-,3,"SAN DIEGO",UNINCORPORATED,2011
5077235,2,1,4,M,63,3,1,P,W,1,"SAN DIEGO",UNINCORPORATED,2011
5077238,1,1,4,F,12,4,1,P,W,1,"SAN DIEGO",UNINCORPORATED,2011
5077274,2,1,3,M,21,4,9,-,-,3,"SAN DIEGO",UNINCORPORATED,2011
5077283,1,1,2,F,59,0,3,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5077283,2,1,4,M,16,3,1,P,V,3,"SAN DIEGO","SAN DIEGO",2011
5077299,3,1,3,M,41,4,0,P,-,0,"SAN DIEGO","SAN DIEGO",2011
5077302,1,1,4,F,29,3,9,A,P,3,"SAN DIEGO","SAN DIEGO",2011
5077318,1,1,3,M,57,4,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5077330,2,1,3,F,40,3,9,P,-,0,"SAN DIEGO","SAN DIEGO",2011
5077342,2,1,3,M,24,4,0,P,K,0,"SAN DIEGO","SAN DIEGO",2011
5077350,1,1,3,M,85,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5077358,1,1,3,M,37,3,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5077538,2,1,3,F,48,4,9,-,-,0,"SAN DIEGO","SAN DIEGO",2011
5077558,1,1,4,-,33,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5077562,2,1,4,M,71,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2011
5077569,2,1,3,M,33,4,0,P,-,0,"SAN DIEGO","SAN DIEGO",2011
5077574,2,1,3,M,31,4,9,P,-,3,"SAN DIEGO","SAN DIEGO",2011
5080093,1,1,2,M,998,0,3,M,G,0,"SAN DIEGO",VISTA,2011
5080093,2,1,4,M,15,3,1,-,-,3,"SAN DIEGO",VISTA,2011
5080242,2,1,3,F,15,4,9,-,-,3,"SAN DIEGO",VISTA,2011
